uuid,nome,cliente,regiao,status
5c052d76-2ea2-4520-aa1f-84c249e51f10,Condomínio Platina Patriani,Condomínio Platina Patriani,POSTOS DA GAP,inativo
27a0552d-5deb-461d-81ac-ecf990cb1b80,Condomínio Villa Bella,Condomínio Villa Bella,POSTOS DA GAP,inativo
b9179ff0-0627-5474-126d-823a7dcfa79e,Cury,Cury,MAIRIPORÃ,inativo
7d6da02f-0d87-6f63-774a-e4b083b2a413,Cury.,Cury 2,MAIRIPORÃ,inativo
fde94b27-5122-33fa-174d-a2c999240709,Cury..,Cury 3,MAIRIPORÃ,inativo
b74b97ff-9421-43b7-be65-affd24583e21,CÂMARA DE ATIBAIA,Câmara de Atibaia,POSTOS DA GAP,inativo
d0c328b8-a156-e91a-97d4-df65a4810d1d,DIB,DIB,REGIÃO PADRÃO,inativo
efd97804-99b6-4073-b24a-efc8af2a9ba9,DOM PEDRO,Condominio Dom Pedro- Mooca,POSTOS DA GAP,inativo
0fa11a2b-a16c-49a1-bdb8-946fe3b8d9d2,DORIA PAMPHILE,Edifício Dória,POSTOS DA GAP,inativo
b749b260-7cfc-4fdb-94fc-aaecf6d294c9,EDIFICIO CAMPO BELO NEW STYLE,EDIFICIO CAMPO BELO NEW STYLE,ZONA SUL,ativo
6e0081a7-6691-4491-8af4-d6a74c35cdb8,EDIFICIO GUADELUPE,EDIFICIO GUADELUPE,ZONA OESTE,ativo
5e01c30a-37cc-469a-b09c-9d78c81e1129,EDIFÍCIO COLUMBIA RESIDENCE,EDIFÍCIO COLUMBIA RESIDENCE,ZONA SUL,ativo
ec3a02e0-21c8-491b-8738-9979b9d1af85,EDIFÍCIO DORIA,Edifício Dória,ZONA SUL,ativo
dfa5eca4-2211-1a20-e6f2-c7e17ad9ca76,EDIFÍCIO ILHA BELA,Ed. Ilha Bela,ZONA OESTE,ativo
94f38edc-b2e9-4ff1-ae05-088ba9ba61fe,EDIFÍCIO RESIDENCIAL ANDORRA,Edifício Residencial Andorra,ZONA OESTE,ativo
bb808332-cbbf-43c8-9a9f-7315d2970104,EDIFÍCIO SÃO JOSÉ,EDIFÍCIO SÃO JOSÉ,ZONA OESTE,ativo
